cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
4	mua
5	mua
6	mua
7	mua
8	mua
9	mua
10	mua
11	mua
12	mua
13	mua
14	mua
15	mua
16	mua
17	mua
18	mua
19	mua
20	mua
21	mua
22	mua
23	mua
24	mua
25	mua
26	mua
27	mua
28	mua
29	mua
30	mua
31	mua
32	mua
33	mua
34	mua
35	mua
36	mua
37	mua
38	mua
39	good
40	mua
41	mua
42	mua
43	mua
44	good
45	good
46	mua
47	mua
48	good
49	good
50	mua
51	good
52	mua
53	good
54	mua
55	mua
56	mua
57	mua
58	mua
59	good
60	mua
61	good
62	mua
63	mua
64	mua
65	mua
66	mua
67	mua
68	good
69	mua
70	mua
71	mua
72	mua
73	mua
74	mua
75	mua
76	mua
77	mua
78	mua
79	mua
80	mua
81	mua
82	mua
83	good
84	mua
85	mua
86	good
87	mua
88	good
89	mua
90	mua
91	mua
92	mua
93	mua
94	mua
95	mua
96	mua
97	mua
98	good
99	good
100	mua
101	mua
102	mua
103	mua
104	mua
105	good
106	good
107	mua
108	mua
109	mua
110	mua
111	mua
112	good
113	mua
114	mua
115	mua
116	mua
117	good
118	mua
119	mua
120	mua
121	mua
122	mua
123	good
124	good
125	good
126	mua
127	mua
128	mua
129	mua
130	mua
131	mua
132	good
133	mua
134	mua
135	good
136	mua
137	mua
138	good
139	good
140	mua
141	good
142	mua
143	mua
144	mua
145	mua
146	good
147	good
148	mua
149	good
150	mua
151	good
152	mua
153	good
154	mua
155	good
156	mua
157	mua
158	mua
159	good
160	mua
161	mua
162	mua
163	good
164	good
165	mua
166	mua
167	mua
168	mua
169	good
170	good
171	mua
172	mua
173	mua
174	mua
175	mua
176	mua
177	good
178	good
179	mua
180	mua
181	mua
182	mua
183	mua
184	mua
185	mua
186	good
187	mua
188	good
189	mua
190	mua
191	mua
192	good
193	mua
194	good
195	mua
196	mua
197	mua
198	mua
199	mua
200	good
201	mua
202	mua
203	mua
204	mua
205	mua
206	mua
207	mua
208	mua
209	mua
210	mua
211	mua
212	mua
213	mua
214	good
215	mua
216	mua
217	mua
218	mua
219	mua
220	mua
221	mua
222	mua
223	mua
224	mua
225	mua
226	mua
227	mua
228	mua
229	mua
230	mua
231	mua
232	mua
233	mua
